Município,Classificação,Funcionarios
Consolação,Entretenimento,1
Consolação,Agência e Operadores,0
Consolação,Hospedagem,0
Coqueiral,Transportes,2
Coqueiral,Hospedagem,5
Coqueiral,Alimentação,7
Coqueiral,Entretenimento,2
Coqueiral,Comércio e Serviços,9
Coqueiral,Agência e Operadores,0
Cordislândia,Comércio e Serviços,0
Cordislândia,Transportes,1
Cordislândia,Hospedagem,0
Cordislândia,Alimentação,4
Cordislândia,Entretenimento,2
Cordislândia,Agência e Operadores,0
Córrego do Bom Jesus,Comércio e Serviços,0
Córrego do Bom Jesus,Transportes,0
Córrego do Bom Jesus,Hospedagem,1
Córrego do Bom Jesus,Alimentação,3
Córrego do Bom Jesus,Entretenimento,1
Córrego do Bom Jesus,Agência e Operadores,0
Cristina,Transportes,0
Cristina,Hospedagem,5
Cristina,Alimentação,18
Cristina,Entretenimento,5
Cristina,Comércio e Serviços,10
Cristina,Agência e Operadores,0
Cruzília,Comércio e Serviços,40
Cruzília,Transportes,8
Cruzília,Alimentação,51
Cruzília,Entretenimento,21
Cruzília,Agência e Operadores,0
Cruzília,Hospedagem,19
Delfim Moreira,Comércio e Serviços,4
Delfim Moreira,Transportes,0
Delfim Moreira,Hospedagem,15
Delfim Moreira,Alimentação,35
Delfim Moreira,Entretenimento,1
Delfim Moreira,Agência e Operadores,0
Delfinópolis,Comércio e Serviços,9
Delfinópolis,Transportes,0
Delfinópolis,Alimentação,17
Delfinópolis,Entretenimento,1
Delfinópolis,Agência e Operadores,0
Delfinópolis,Hospedagem,51
Divisa Nova,Comércio e Serviços,18
Divisa Nova,Transportes,0
Divisa Nova,Hospedagem,0
Divisa Nova,Alimentação,4
Divisa Nova,Entretenimento,3
Divisa Nova,Agência e Operadores,0
Dom Viçoso,Comércio e Serviços,1
Dom Viçoso,Transportes,0
Dom Viçoso,Hospedagem,0
Dom Viçoso,Alimentação,7
Dom Viçoso,Entretenimento,2
Dom Viçoso,Agência e Operadores,0
Elói Mendes,Transportes,5
Elói Mendes,Hospedagem,36
Elói Mendes,Alimentação,88
Elói Mendes,Entretenimento,15
Elói Mendes,Comércio e Serviços,59
Elói Mendes,Agência e Operadores,0
Espírito Santo do Dourado,Comércio e Serviços,2
Espírito Santo do Dourado,Transportes,0
Espírito Santo do Dourado,Hospedagem,0
Espírito Santo do Dourado,Alimentação,8
Espírito Santo do Dourado,Entretenimento,3
Espírito Santo do Dourado,Agência e Operadores,0
Estiva,Transportes,0
Estiva,Entretenimento,5
Estiva,Comércio e Serviços,16
Estiva,Agência e Operadores,0
Estiva,Alimentação,192
Estiva,Hospedagem,14
Extrema,Transportes,889
Extrema,Alimentação,793
Extrema,Comércio e Serviços,832
Extrema,Entretenimento,25
Extrema,Agência e Operadores,2
Extrema,Hospedagem,246
Fama,Comércio e Serviços,0
Fama,Transportes,0
Fama,Hospedagem,9
Fama,Alimentação,5
Fama,Entretenimento,7
Fama,Agência e Operadores,0
Fortaleza de Minas,Comércio e Serviços,18
Fortaleza de Minas,Transportes,0
Fortaleza de Minas,Hospedagem,14
Fortaleza de Minas,Alimentação,0
Fortaleza de Minas,Entretenimento,4
