Município,Classificação,Estabelecimentos
Monte Santo de Minas,Alimentação,130
Monte Santo de Minas,Comércio e Serviços,64
Monte Santo de Minas,Entretenimento,62
Monte Santo de Minas,Hospedagem,7
Monte Santo de Minas,Transportes,25
Monte Sião,Agência e Operadores,4
Monte Sião,Alimentação,200
Monte Sião,Comércio e Serviços,81
Monte Sião,Entretenimento,72
Monte Sião,Hospedagem,19
Monte Sião,Transportes,35
Munhoz,Agência e Operadores,4
Munhoz,Alimentação,71
Munhoz,Comércio e Serviços,22
Munhoz,Entretenimento,12
Munhoz,Hospedagem,10
Munhoz,Transportes,5
Muzambinho,Agência e Operadores,5
Muzambinho,Alimentação,175
Muzambinho,Comércio e Serviços,70
Muzambinho,Entretenimento,61
Muzambinho,Hospedagem,7
Muzambinho,Transportes,109
Natércia,Alimentação,30
Natércia,Comércio e Serviços,6
Natércia,Entretenimento,6
Natércia,Hospedagem,2
Natércia,Transportes,8
Nova Resende,Alimentação,81
Nova Resende,Comércio e Serviços,46
Nova Resende,Entretenimento,34
Nova Resende,Hospedagem,2
Nova Resende,Transportes,13
Olímpio Noronha,Agência e Operadores,1
Olímpio Noronha,Alimentação,36
Olímpio Noronha,Comércio e Serviços,9
Olímpio Noronha,Entretenimento,2
Olímpio Noronha,Hospedagem,2
Ouro Fino,Agência e Operadores,6
Ouro Fino,Alimentação,368
Ouro Fino,Comércio e Serviços,121
Ouro Fino,Entretenimento,100
Ouro Fino,Hospedagem,19
Ouro Fino,Transportes,110
Paraguaçu,Agência e Operadores,6
Paraguaçu,Alimentação,182
Paraguaçu,Comércio e Serviços,79
Paraguaçu,Entretenimento,65
Paraguaçu,Hospedagem,5
Paraguaçu,Transportes,37
Paraisópolis,Agência e Operadores,8
Paraisópolis,Alimentação,208
Paraisópolis,Comércio e Serviços,59
Paraisópolis,Entretenimento,66
Paraisópolis,Hospedagem,56
Paraisópolis,Transportes,66
Passa Quatro,Agência e Operadores,20
Passa Quatro,Alimentação,211
Passa Quatro,Comércio e Serviços,56
Passa Quatro,Entretenimento,57
Passa Quatro,Hospedagem,29
Passa Quatro,Transportes,19
Passa Vinte,Alimentação,34
Passa Vinte,Comércio e Serviços,5
Passa Vinte,Entretenimento,2
Passa Vinte,Hospedagem,6
Passa Vinte,Transportes,3
Passos,Agência e Operadores,65
Passos,Alimentação,988
Passos,Comércio e Serviços,433
Passos,Entretenimento,427
Passos,Hospedagem,45
Passos,Transportes,268
Pedralva,Agência e Operadores,1
Pedralva,Alimentação,82
Pedralva,Comércio e Serviços,10
Pedralva,Entretenimento,26
Pedralva,Hospedagem,1
Pedralva,Transportes,13
Piranguçu,Agência e Operadores,1
Piranguçu,Alimentação,68
Piranguçu,Comércio e Serviços,11
Piranguçu,Entretenimento,11
Piranguçu,Hospedagem,4
Piranguçu,Transportes,8
Piranguinho,Agência e Operadores,1
Piranguinho,Alimentação,98
Piranguinho,Comércio e Serviços,23
Piranguinho,Entretenimento,21
Piranguinho,Hospedagem,3
Piranguinho,Transportes,13
Poço Fundo,Agência e Operadores,8
Poço Fundo,Alimentação,122
Poço Fundo,Comércio e Serviços,30
Poço Fundo,Entretenimento,23
Poço Fundo,Hospedagem,2
Poço Fundo,Transportes,23
Poços de Caldas,Agência e Operadores,129
Poços de Caldas,Alimentação,1918
Poços de Caldas,Comércio e Serviços,735
Poços de Caldas,Entretenimento,725
Poços de Caldas,Hospedagem,93
Poços de Caldas,Transportes,783
Pouso Alegre,Agência e Operadores,73
Pouso Alegre,Alimentação,1704
Pouso Alegre,Comércio e Serviços,620
Pouso Alegre,Entretenimento,623
Pouso Alegre,Hospedagem,48
Pouso Alegre,Transportes,622
Pouso Alto,Agência e Operadores,1
Pouso Alto,Alimentação,108
Pouso Alto,Comércio e Serviços,14
Pouso Alto,Entretenimento,25
Pouso Alto,Hospedagem,12
Pouso Alto,Transportes,9
Pratápolis,Agência e Operadores,4
Pratápolis,Alimentação,67
Pratápolis,Comércio e Serviços,32
Pratápolis,Entretenimento,29
Pratápolis,Hospedagem,3
Pratápolis,Transportes,10
Santana da Vargem,Agência e Operadores,2
Santana da Vargem,Alimentação,58
Santana da Vargem,Comércio e Serviços,21
Santana da Vargem,Entretenimento,17
Santana da Vargem,Hospedagem,2
Santana da Vargem,Transportes,13
Santa Rita de Caldas,Alimentação,68
Santa Rita de Caldas,Comércio e Serviços,15
Santa Rita de Caldas,Entretenimento,20
Santa Rita de Caldas,Hospedagem,2
Santa Rita de Caldas,Transportes,15
Santa Rita do Sapucaí,Agência e Operadores,23
